Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Badshah,Amiya Chakraborty,"Pradeep Kumar, Usha Kiran, Mala Sinha, K. N. Singh, Agha, Achala Sachdev, Ulhas",Action Drama,,1954,,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",
Bahut Din Huwe,S. S. Vasan,"Madhubala, Agha, Lalita Pawar, Kanhaiyalal, Master Rattan Kumar, M. K. Radha, Gulab, Pushpavalli",Costume Drama,,1954,,Music: B. S. Kalla,
Barati,J. K. Nanda,"Chand Usmani, Agha, Peace Kanwal, Johnny Walker, Om Prakash, Leela Mishra, Agha Miraz, Shyam Kumar",Family Drama,,1954,,"Music: Roshan Lyrics: Raja Mehdi Ali Khan, D. N. Madhok, Jan Nisar Akhtar, Tanveer Naqvi",
Bazooband,Ramanand Sagar,"Balraj Sahni, Sulochana Chatterjee, Om Prakash, Radhakrishan, Anwar Hussain, Roopmala, Ramesh Kumar",Social,,1954,,"Music: Mohammed Shafi Lyrics: Prem Dhawan, Daag, Chandrashekhar",
Betab,Harbans,"Ashok Kumar, Kamal, Kumar, Motilal, Murad",Social,,1954,,"Music: S. D. Batish Lyrics: Kaif Irfani, Roop Bani, Shevan Rizvi",
Bhai Sahab,Ravindra Dave,"C. H. Atma, Smriti Biswas, Purnima, Rattan Kumar, Jagdeep",Social,,1954,,Music: Neenu Majumdar Lyrics: Shailendra,
Bilwamangal,D. N. Madhok,"Suraiya, C. H. Atma, Asha Mathur, Ulhas, Nirupa Roy",Devotional,,1954,,Music: Bulo C. Rani Lyrics: D. N. Madhok,
Biraj Bahu,Bimal Roy,"Kamini Kaushal, Abhi Bhattacharya, Pran, Manorama, Shakuntala, Randhir, Nazima, Iftekhar, Moni Chatterjee, Kammo",Family Drama,,1954,,"Filmfare Awards for best direction- Bimal Roy, best actress- Kamini Kaushal, Certificate of Merit for Best Feature Film. Music: Salil Chowdhary Lyrics: Prem Dhawan",
Bokul,Bholanath Mitra,"Uttam Kumar, Tulsi Chakraborty, Basanta Choudhury, Master Qamar, Arundhati Mukherjee, Manorama",Social,,1954,,Music: Pronob Dey Lyrics: Pandit Bhushan,
Boot Polish,Prakash Arora,"David, Master Rattan, Baby Naaz, Chand Burke, Bhudo Advani, Veera",Social,,1954,,"Filmfare Awards for Best Film - Raj Kapoor, Best Supporting Actor - David, Best Cinematographer - Tara Dutt. Music: Shankar Jaikishan Lyrics: Shailendra, Saraswati Kumar Deepak, Hasrat Jaipuri",
Chakradhari,Raman B. Desai,"Nirupa Roy, Shahu Modak, Trilok Kapoor, Yashodara Katju, Maya Dass, Ram Avtar, Rooplaxmi",Devotional,,1954,,Music: Avinash Vyas Lyrics: Kavi Pradeep,
Chandni Chowk,B. R. Chopra,"Meena Kumari, Shekhar, Smriti Biswas, Jeevan, Agha, Yashodara Katju, Kumar, Achala Sachdev, Sunder",,,1954,,"Music: Roshan Lyrics: Majrooh Sultanpuri, Raja Mehdi Ali Khan, Shailendra",
Chitrangada,Hem Chander,"Utpal Dutt, Jiban Ganguly, Mala Sinha, Samir, Namita Sengupta",Costume,,1954,,Music: Pankaj Mullick,
Chor Bazaar,P. N. Arora,"Shammi Kapoor, Chitra, Sumitra Devi, Om Prakash, Amar, Cuckoo, Ram Avtar, Jagdish Kanwal, W. M. Khan, Parshuram",Costume Drama,,1954,,Music: Sardar Malik Lyrics: Shakeel Badayuni,
Dak Babu,Lekhraj Bhakri,"Talat Mehmood, Nadira, Radhakrishan, Kuldip Kaur, Yashodara Katju, Manmohan Krishna",Social,,1954,,"Music: Dhaniram Lyrics: Prem Dhawan, Raja Mehdi Ali Khan, Dhaniram",
Daku Ki Ladki,Tara Harish,"Geeta Bali, Sheikh Mukhtar, Mukri, Shivraj, Cuckoo, Sankatha Prasad",Action,,1954,,"Music: Hemant Kumar Lyrics: Kaif Irfani, S. H. Bihari, Indeevar",
Danka,J. P. Advani,"Nimmi, Amarnath, Om Prakash, Sunder, Mohana, Hiralal, Neelam Kothari, Shivraj, Uma Devi, Roop Kumar",Costume,,1954,,"Music: Aziz Hindi Lyrics: Jan Nisar Akhtar, Nazim Panipati, Arshi Ajmeri",
Darwaza,Shahid Lateef,"Shekhar, Shyama, Nazir Hussain, Indrajeet, Leela Mishra, Pratima Devi, Amir Banu",Social Drama,,1954,,"Music: Naushad Lyrics: Majrooh Sultanpuri, Khumar Barabankvi, Vishwamitra Adil",
Dhobi Doctor,Phani Majumdar,"Kishore Kumar, Nazira, Kanhaiyalal, Shivraj, Krishnakant, Usha Rani, Jagdeep, Mehmood",Social,,1954,,"Music: Khayyaam Lyrics: Majrooh Sultanpuri, Ali Sardar Jafri",
Dhoop Chhaon,S M Raza,"Shyama, Bharat Bhushan, Krishna Kumari, N. A. Ansari, Mumtaz, Shamim Akhtar",,,1954,,"Music: Aziz Hindi Lyrics: Jan Nisar Akhtar, Khawar Zaman, Arshi Ajmeri",
Dost,Rajendra Sharma,"Suresh, Usha Kiran, Om Prakash, Kammo, Khairati, Mohna, Majnu, Ramesh Thakur, Randhir, S. Nazir and Uma Dutt",Social,,1954,,Music: Hansraj Behl Lyrics: Varma Malik,
Durga Puja,Dhirubhai Desai,"Nirupa Roy, Trilok Kapoor, Shahu Modak, Kamal, Ratnamala, S. N. Tripathi",Devotional,,1954,,"Music: S. N. Tripathi Lyrics: Bharat Vyas, B. D. Mishra, Gopal Singh Nepali, Saraswati Kumar Deepak",
Ehsan,Rajendra Sharma,"Shammi Kapoor, Munawwar Sultana, Prithviraj Kapoor, Gulab, Naaz, K. N. Singh, Roopmala",Social,,1954,,"Music: Madan Mohan Lyrics: D. N. Madhok, Kaif Irfani",
Fuji-Lama,H. S. Tharani,"Rajan Haksar, Manorama, Shanta Kanwar, Habib",Fantasy,,1954,,Music: J. Majumdar,
Gawaiya,H. P. Sharma,"Surendra, Sulochana Chatterji, Sunder, Kumkum, Vijayalaxmi, Sapru, Heera Sawant",Social,,1954,,"Music: Ram Ganguly Lyrics: S. H. Bihari, Chandra Shekhar Pandey, Shewan Rizvi",
Gul Bahar,Nanubhai Vakil,"Shakila, Hemant, Kuldip Kaur, Ram Avtar, Kumar, Randhir, Chand Burke, Tun Tun, Khairati",Costume,,1954,,"Music: Dhaniram, Khayyam Lyrics: Asad Bhopali, Jan Nisar Akhtar",
Guzaara,S. M. Yusuf,"Karan Dewan, Jabeen, Paro Devi, Naaz, S. M. Yusuf",Social Drama,,1954,,"Music: Ghulam Mohammad Lyrics: Raja Mehdi Ali Khan, Fauk Jaami, Munir Lakhnavi,",
Haar Jeet,Jaggi Rampal,"Suresh, Shyama, Hiralal, Madan Puri, Sunder, Manorama",Social,,1954,,"Music: S. D. Batish Lyrics: Shewan Rizvi, Saraswati Kumar Deepak, Kaif Irfani, Aziz Kashmiri",
Hukumat,Raja Yagnik,"Manhar Desai, Nirupa Roy, Kuldip Kaur, Shammi, Anwar Hussain, Noorjahan",Costume Action,,1954,,Music: Avinash Vyas,
Halla Gulla,Bhagwan,"Shakila, Bhagwan, Sajjan, Baburao Pendharkar, Leela Gupte, Leela Gandhi",Action,,1954,,Music: Nisar Lyrics: Saba Afghani,
Hamlet,Kishore Sahu,"Kishore Sahu, Mala Sinha, Kamaljeet, Jankidas, S. Nazir, Shreenath, Hiralal, Paul Sharma, Venus Banerjee",Costume Drama,,1954,,Music: Ramesh Naidu Lyrics: Hasrat Jaipuri,
Hanuman Janma,Raja Nene,"Prem Adib, Ranjana, Paro Devi, Jugnu",Religious,,1954,,Music: Hansraj Behl Lyrics: S. P. Kalla,
Ilzam,R. C. Talwar,"Kishore Kumar, Meena Kumari, Jagdish Sethi, Shammi, Amar, Randhir, Meera Devi",Social Drama,,1954,,Music: Madan Mohan Lyrics: Rajendra Krishan,
Jadugar,Mohamed Hussain,"Kamran, Niroo, Shaikh, Habib, Lalita Kumari, Amrit Rana",Fantasy,,1954,,Music: Iqbal Lyrics: Faruk Kaiser,
Jagriti,Satyen Bose,"Abhi Bhattacharya, Bipin Gupta, Pranoti Ghosh, Rajkumar Gupta, Mumtaz Begum, Rattan Kumar",Social,,1954,,Filmfare Award for Best Movie. National Film Award for Best Feature Film in Hindi - Certificate of Merit. Music: Hemant Kumar Lyrics: Kavi Pradeep,
Kalakar,Anant Mane,"Sheila Ramani, Agha, Vivek, Neeru, Dhumal, Raja Nene, Suner, Heera Sawant, Raja Gosavi",,,1954,,"Music: Vasant Desai Lyrics: Sarshar Sailani, K. Razdan",
Kashti,Hemen Gupta,"Dev Anand, Geeta Bali, Chand Burke, Ram Singh, Jagdish Kanwal, Jankidas, Narmada Shankar",,,1954,,Music: Hemant Kumar,
Kasturi,Vrajendra Gaur,"Nimmi, Sajjan, Bipin Gupta, Anand Prasad, Alka, Samson",Social,,1954,,"Music: Pankaj Mullick, Jamal Sen Lyrics: Vrajendra Gaur",
Kavi,Debaki Bose,"Nalini Jaywant, Geeta Bali, Bharat Bhushan, Chandrashekhar, Om Prakash, B. M. Vyas, Jankidas, H. Prakash",Social Drama,,1954,,Music: C. Ramachandra Lyrics: Rajendra Krishan,
Khaibar,Kedar Kapoor,"Kamal Kapoor, Nigar Sultana, Tiwari, Naaz, Niranjan Sharma, B. M. Vyas, Chaman Puri",Costume,,1954,,Music: Hansraj Behl Lyrics: Asad Bhopali,
Khushboo,Rana Indu Shamsher,"Motilal, Shyama, Shakila, Moti Sagar, Kesari, Noor, Radheshyam",Social,,1954,,Music: Shankar Lal Lyrics: Gopal Singh Nepali,
Laadla,Suryakumar,"Shyama, Karan Dewan, Agha, Krishna Kumari, Jeevan, Maruti Pehalwan, Raj Mehra",Social,,1954,,Music: Vinod Lyrics: Raja Mehdi Ali Khan,
Laila,Naseem Siddiqui,"Daljeet, Shakila, Durga Khote, Hiralal, Noorjahan, Kammo, W. M. Khan",Costume,,1954,,"Music: A. R. Qureshi Lyrics: Bharat Vyas, Kaif Irfani, Shewan Rizvi, Mulkraj Bhakri, Munshi Dil",
Lakeeren,Harbans,"Ashok Kumar, Nalini Jaywant, Pran, Yakub, Durga Khote, Tiwari, Cuckoo, Sulochana Chatterjee, Sulochana, Kamal",Social Drama,,1954,,Music: Hafeez Khan Lyrics: Shewan Rizvi,
Lal Pari,Kedar Kapoor,"Mahipal, Shakila, Johnny Walker, Kuldip Kaur, Tiwari, Helen, B. M. Vyas, Maruti",Fantasy,,1954,,Music: Hansraj Behl Lyrics: Asad Bhopali,
Maan,Safdar Aah,"Ajit, Chitra, Gajanan Jagirdar, Yashodhara Katju, Kumar Kamlesh Kumari",Costume,,1954,,"Music: Anil Biswas Lyrics: Safdar Aah, Asad Bhopali, Raja Mehdi Ali Khan",
Mahatma Kabir a. k. a. Great Soul Kabir,Gajanan Jagirdar,"Surendra, Sulochana Chatterjee, Gajanan Jagirdar, Anant Marathe, Amirbai Karnataki, Shashi Kapoor, Naina, Ratnamala",Devotional,,1954,,"Music: Anil Biswas Lyrics: Chandra Shekhar Pandey, Kabir, Narendra Sharma, Izhar Malihabadi, Ehsan",
Majboori,Ram Daryani,"Balraj Sahni, Shyama, Jeevan, Kumar, Gope, Gulab, Pramila",Social Drama,,1954,,"Music: Robin Chatterjee Lyrics: D. N. Madhok, P Gaafil",
Malka-e-Alam Noorjehan,Gunjal,"Pradeep Kumar, Asha Mathur, Kamal Kapoor, Gajanan Jagirdar, Jankidas, Rajan Kapoor",Historical Drama,,1954,,"Music: Avinash Vyas Lyrics: Keshav Trivedi, Ramesh Gupta, Pyarelal Santoshi",
Mangu,N. A. Ansari,"Sheikh Mukhtar, Nigar Sultana, Sheila Ramani, Mukri, N. A. Ansari, Nazir Kashmiri",Action Drama,,1954,,"Music: Mohammed Shafi, O. P. Nayyar Lyrics: Majrooh Sultanpuri",
Manohar,L. V. Prasad,"Sivaji Ganeshan, T. R. Rajakumari, P. Kannamba, Girija, Sadashiv Rao Kavi, Javar Sitaram",Costume Drama,,1954,,"Music: S. V. Venkatraman, T. R. Ramanathan Lyrics: Vishwamitra Adil",
Mastana,H. S. Rawail,"Motilal, Nigar Sultana, Chandrashekhar, Kuldip Kaur, Yashodhara Katju, Sunder, Gope, Chaman Puri, Master Romi, Tiwari",Social,,1954,,Music: Madan Mohan Lyrics: Rajendra Krishan,
Mayurpankh,Kishore Sahu,"Bina Rai, Kishore Sahu, Reginald Jackson, Odette Ferguson, Sumitra Devi, Asha Mathur, Ramesh Gupta, Jankidas, Seema, Cuckoo, Moni Chatterji, Helen",Romantic Drama,,1954,,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",
Meenar,Hemen Gupta,"Bina Rai, Bharat Bhushan, Sheila Ramani, Chandrashekhar, Pran, S. Nazir, Pratima Devi",Social,,1954,,Music: C. Ramchandra Lyrics: Rajendra Krishan,
Mehbooba,K. Amarnath,"Shammi Kapoor, Nalini Jaywant, Gope, Achala Sachdev, W. M. Khan, Hiralal",Costume Drama,,1954,,"Music: Roshan, O. P. Nayyar Lyrics: Majrooh Sultanpuri, Tanveer Naqvi, Indeevar",
Mirza Ghalib,Sohrab Modi,"Bharat Bhushan, Suraiya, Nigar Sultana, Murad, Durga Khote, Jagdish Sethi, Mukri, Kumkum, Sadat Ali, Iftekhar",Biopic Musical,,1954,,"Music: Ghulam Mohammed Lyrics: Mirza Ghalib, Shakeel Badayuni",
Miss Mala,Jayant Desai,"Kishore Kumar, Vyjayantimala, Jeevan, Bipin Gupta, Agha, Samson, Umakant",Social,,1954,,"Music: Chitragupta Lyrics: Raja Mehdi Ali Khan, Anjum Jaipuri",
Munna,K. A. Abbas,"Sulochana Chatterji, P. Jairaj, Achala Sachdev, Tripti Mitra, Manmohan Krishna, Bhudo Advani, Madan Puri, Om Prakash, Johnny Walker, Rashid Khan, Jagdeep, David, Master Romi, Shammi, Naaz",Social Children,,1954,,Music: Anil Biswas,
Naaz,S K Ojha,"Ashok Kumar, Nalini Jaywant, Veena, Nawab, Murad, Tiwari, S. Nazir, Amar, K. Sabir",Social,,1954,,"Music: Anil Biswas Lyrics: Prem Dhawan, Kedar Sharma, Satyendra Athaiya",
Nagin,Nandlal Jaswantlal,"Pradeep Kumar, Vyjayantimala, Krishna Kumari, I. S. Johar, Jeevan, Sulochana, Mubarak, Ram Avtar",Fantasy Musical,,1954,,Music: Hemant Kumar Lyrics: Rajendra Krishan,
Nastik,I. S. Johar,"Ajit, Nalini Jaywant, I. S. Johar, Raj Mehra, Leela Mishra, Ulhas, Mumtaz Begum, Roopmala",Social,,1954,,Music: C. Ramchandra Lyrics: Kavi Pradeep,
Naukari,Bimal Roy,"Kishore Kumar, Sheila Ramani, Moni Chatterjee, Kanhaiyalal, Noor, Achala Sachdev, Bikram Kapoor, Samson, Krishnakant, Iftekhar, Jagdeep, Mehmood, Sailen Bose",Social,,1954,,Music: Salil Choudhry Lyrics: Shailendra,
Noor Mahal,Nanubhai Vakil,"Daljeet, Shakila, Kumkum, Kamal, Jagdish Kanwal, W. M. Khan",Fantasy,,1954,,Music: A. R. Qureshi Lyrics: Munshi Dil,
Pehli Jhalak,M. V. Raman,"Kishore Kumar, Vyjayantimala, Pran, Om Prakash, Dara Singh, Shammi, Jawahar Kaul, S Randhawa, Kamal Kant",,,1954,,Music: C. Ramchandra Lyrics: Rajendra Krishan,
Paheli Tarikh,Raja Nene,"Nirupa Roy, Raja Nene, Agha, Yashodara Katju, Sudha, Ramesh Kapoor, V. Pahelwan",Social Drama,,1954,,Music: Sudhir Phadke Lyrics: Qamar Jalalabadi,
Pamposh,Ezra Mir,"Shashikala, Leela Kanade, Mogli, B. Billimoria Siddiqui, Chella",Social,,1954,,Music: Manohar Khanna Lyrics: Manohar Khanna,
Parichay,Satyen Bose,"Abhi Bhattacharya, Pranoti Ghosh, Shashikala, Dhumal, Sajjan, Zebunissa, Shakuntala",Social Drama,,1954,,"Music: Vedpal, Shailesh Lyrics: Keshav Trivedi, Akhtar Yusuf",
Pensioner,Jagdish Sethi,"Shyama, Ram Mohan, Tiwari, Gulab, Ram Sharma, Cuckoo, Jagdish Sethi",Social,,1954,,"Music: Hansraj Behl Lyrics: Naqsh Lyallpuri, Indeevar, Uddhav Kumar",
Pilpili Saheb,H. S. Kwatra,"Shyama, Agha, Pran, Kuldip Kaur, Sunder, Mehmood, Lalita Kumari, Helen, Rajan Kapoor",Comedy,,1954,,"Music: Sardul Kwatra Lyrics: Hasrat Jaipuri, Verma Malik, Shailendra",
Pooja,Bhagwandas Verma,"Bharat Bhushan, Purnima, Badri Prasad, Shakuntala, Om Prakash, Raj Mehra, Ulhas, Hiralal, S. Nazir, Jankidas",Social,,1954,,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",
"""Prisoner Of Golconda"" a.k.a. ""Golconda ka Qaidi""",Premnath,"Premnath, Bina Rai, Rajendranath, Hiralal, Shobhana Samarth, Agha, Ermeline, Cuckoo, Michael Shea",Costume,,1954,,"Music: Datta Davjekar, Jagannath Lyrics: Anjaan, Prakash Saathi",
Pyaase Nain,S. Ram Sharma,"Nimmi, Rehman, Shyama, Gope, Anwari Bai, Bhudo Advani, Mumtaz",Social,,1954,,"Music: S. K. Pal, Bulo C. Rani Lyrics: Waheed Qureshi, Kaif Irfani, D. N. Madhok",
Radha Krishna,Raja Nene,"Kamini Kaushal, Ratan Kumar, Vasant Rao, Indu Paul, Agha, Jankidas, Rajen Kapoor, Maruti, Shakuntala, Rajkumar",Devotional,,1954,,"Music: S. D. Burman Lyrics: Sahir Ludhianvi, Narendra Sharma,",
Rajyogi Bharthari,Raman B. Desai,"Trilok Kapoor, Sumitra Devi, Asha Mathur, Sapru, Jankidas, S. N. Tripathi, Moni Chatterjee, Bipin Gupta, Heera Sawant",Legend,,1954,,"Music: Shanker Rao Vyas Lyrics: Saraswati Kumar Deepak, Gopal Singh Nepali",
Ramayan,Vijay Bhatt,"Prem Adib, Shobhna Samarth, Shahu Modak, Umakant, Durga Khote",Religious,,1954,,"Music: Shankar Rao Vyas Lyrics: Ramesh Gupta, Baalam Pardesi",
Rihaee,K. Ramnath,,,,1954,,Music: Lyrics:,
Rishta,Aslam,"Nigar Sultana, Suresh, Anwar Hussain, Vijayalaxmi, Neelam, Leela Mishra, Ramlal, S. Nazir",Social,,1954,,Music: K. Dutta Lyrics: Pandit Phani,
Saltanat,Dwarka Khosla,"Manhar Desai, Shyama, Anwar Hussain, Sulochana, B. M. Vyas, Babu Raje, S. N. Tripathi, Neeru",Costume,,1954,,"Music: Chitragupta Lyrics: Gopal Singh Nepali, Anjum Jaipuri",
Samaj,Vasant Joglekar,"Ashok Kumar, Usha Kiran, Sumati Gupte, Shashikala, Anoop Kumar, Agha, Leela Mishra, Nazir Hussain, Samson",Social,,1954,,Music: Arun Kumar Lyrics: Majrooh Sultanpuri,
Samrat,Najam Naqvi,"Ajit, Rehana, Kamlesh Kumari, Mumtaz Ali, Ram Singh, Sapru, S. L. Puri, Randhir",Costume Action,,1954,,Music: Hemant Kumar Lyrics: Rajendra Krishan,
Sangam,Kiran Kumar,"Kamini Kaushal, Shekhar, Murad, K. N. Singh, Jeevan",Social,,1954,,Music: Ram Ganguly Lyrics: Hasrat Jaipuri,
Savdhan,Dutta Dharmadhikari,"Motilal, Shyama, Shyam Kumar, Raja Gosavi, Paro Devi, Dada Mirasi, Ram Kumar",Social,,1954,,Music: Vasant Ramachandra Lyrics: Sahir Ludhianvi,
Shabab,M. Sadiq,"Bharat Bhushan, Nutan, Badri Prasad, Shyam Kumar, Yashodara Katju, Wasti, Tun Tun",Costume Drama,,1954,,Music: Naushad Lyrics: Shakeel Badayuni,
Shaheed-E-Azad Bhagat Singh,Jagdish Gautam,"Prem Adib, P. Jairaj, Smriti Biswas, Johnny Walker, Cuckoo, Amirbai Karnataki, Ashita Majumdar",Biopic,,1954,,"Music: Lachhiram Tamar Lyrics: Sahir Chandpuri, Shauqat Pardesi, Ram Prasad Bismil",
Shama Parwana,D.D. Kashyap,"Shammi Kapoor, Suraiya, Roopmala, Ulhas, Sunder, Mubarak, Roopmala, Naaz",Costume,,1954,,Music: Husanlal Bhagatram Lyrics: Majrooh Sultanpuri,
Shart,B. Mitra,"I. S. Johar, Shyama, Shashikala, Mohana, Sulochana, Chaman Puri, Jagdish Kanwal",Social Drama,,1954,,"Music: Hemant Kumar Lyrics: S. H. Bihari, Rajendra Krishan",
Sheeshe Ki Diwar,Manmohan Sabir,"Pran, Veena, Manmohan Krishna, Cuckoo, Rashid Khan, Shammi",Social,,1954,,Music: Shankar Dasgupta Lyrics: Manmohan Sabir,
Sher Dil,Boman Shroff,"Fearless Nadia, John Cawas, Sardar Mansur, Dalpat, H. Prakash, Charubala, Azim",Action Adventure,,1954,,"Music: Shafi M. Nagri Lyrics: Preetam Dehlvi, Saraswati Kumar Deepak, Raja Mehdi Ali Khan",
Shiv Kanya,Dhirubhai Desai,"Trilok Kapoor, Nirupa Roy, Anjali Devi, Lalita Pawar, Shakuntala, Niranjan Sharma",Religious,,1954,,"Music: Manna Dey Lyrics: Bharat Vyas, Ramesh Gupta, Saraswati Kumar Deepak",
Shiv Ratri,Jayant Desai,"Nirupa Roy, Trilok Kapoor, Manhar Desai, Radhakrishan, Minaxi, Niranjan Sharma",Devotional,,1954,,Music: Chitragupta Lyrics: Gopal Singh Nepali,
Shobha,Niren Lahiri,"Abhi Bhattacharya, Usha Kiran, Chhabi Biswas, Sunanda Devi, Manju Dey",Family Drama,,1954,,"Music: Robin Banerjee Lyrics: Kaif Irfani, Mahendra Pran",
Sitamgar,Akkoo,"Baburao, Krishna Kumari, Sheikh, Leela Gupte",Action,,1954,,"Music: Nisar Lyrics: A. Afghani, Sheikh Adam",
Shri Chaitanya Mahaprabhu,Vijay Bhatt,"Bharat Bhushan, Ameeta, Durga Khote, Madan Puri, Kanhaiyalal, Umakant, B. M. Vyas",Biopic Devotional,,1954,,Music: R. C. Boral Lyrics: Bharat Vyas,
Subah Ka Tara,V. Shantaram,"V. Shantaram, Jayshree, Pradeep Kumar, Rajshree, Amirbai Karnataki, Shakuntala, Neelam, Nimbalkar, Naaz, Romeo",Social Drama,,1954,,Music: C. Ramchandra Lyrics: Noor Lakhnavi,
Suhagan,Anant Mane,"Geeta Bali, Jaswant, Sulochana, Vijaylaxmi, Jankidas, Shyam Kumar",Family Drama,,1954,,"Music: Vasant Desai, C. Ramachandra Lyrics: Ehsan Rizvi, Saraswati Kumar Deepak",
Taxi Driver,Chetan Anand,"Dev Anand, Kalpana Kartik, Johnny Walker, Sheila Ramani, M. A. Latif, Krishan Dhawan, Parveen Kaul, Hamid Sayani, Ratan Gaurang, Rashid Khan",Romance Action Drama,,1954,,Filmfare Best Music Director Award for S. D. Burman. Music: S. D. Burman Lyrics: Sahir Ludhianvi,
Teen Tasveereen,S. S. Solanki,"Kishore Kumar, Sharada, Nina Makar, Anil, Munshi Khanjar",Social,,1954,,Music: Neenu Majumdar Lyrics: Prem Dhawan,
Tilottama,Babubhai Mistri,"Chitra, Maruti, B. M. Vyas, Shri Bhagwan, Arvind Pandya, P. Kailash, Babu Raje, Indira Bansal",Mythological,,1954,,Music: S. N. Tripathi Lyrics: Gopal Singh Nepali,
Toofan,Ram Prakash,"Munawwar Sultana, Vijaylaxmi, Amarnath, Sajjan, Pran, Tiwari, Pratima Devi",Action,,1954,,Music: S. D. Batish Lyrics: Wahid Qureshi,
Toote Khilone,Nanabhai Bhatt,"Shekhar, Purnima, Asha Mathur Gulab, Master Romi, Babu Raje",Social,,1954,,"Music: Chitragupta Lyrics: Raja Mehdi Ali Khan, Anjum Jaipuri, Gopal Singh Nepali",
Tulsidas,"Balchandra, Harsukh Bhatt","Mahipal, Shyama, Dulari, Sunder, Ramesh, Raj Kumar, Uma Dutt, Chaman Puri",Biopic,,1954,,Music: Chitragupta Lyrics: Gopal Singh Nepali,
Waris,Nitin Bose,"Suraiya, Talat Mehmood, Yakub, Achala Sachdev, Nadira, Sadat Ali, Gope, Roopmala",Family Drama,,1954,,Music: Anil Biswas Lyrics: Majrooh Sultanpuri,
Watan,Nanabhai Bhatt,"Nirupa Roy, Trilok Kapoor, Munawwar Sultana, Jayant, Madan Puri, Cuckoo",Costume Drama,,1954,,Music: Hafiz Khan Lyrics: Shewan Rizvi,
Shree 420,,,,,1955,"Raj Kapoor, Nargis",,1.0
Azaad,,,,,1955,"Dilip Kumar, Meena Kumari",,2.0
Jhanak Jhanak Payal Baje,,,,,1955,"Gopi Krishna, Sandhya",,3.0
Uran Khatola,,,,,1955,"Dilip Kumar, Nimmi",,4.0
Mr. & Mrs. '55,,,,,1955,"Guru Dutt, Madhubala",,5.0
Insaniyat,,,,,1955,"Dilip Kumar, Dev Anand, Bina Rai",,6.0
Munimji,,,,,1955,"Dev Anand, Nalini Jaywant",,7.0
Seema,,,,,1955,"Balraj Sahani, Nutan",,8.0
Baradari,,,,,1955,"Ajit, Geeta Bali",,9.0
Devdas,,,,,1955,"Dilip Kumar, Suchitra Sen, Vyjayanthimala",,10.0
Aaj Ki Baat,Leela Chitnis,"Ajit, Chitra, Bipin Gupta, Manmohan Krishan, Sunder, Leela Chitnis",Social,,1955,"Music: Snehal Bhatkar Lyrics: Hasrat Jaipuri, Raj Baldev Raj, Kaif Irfani",,
Abe-Hayat,Ramanlal Desai,"Premnath, Shashikala, Ameeta, Pran, Mubarak, Kanu Roy, Chaman Puri, S L Puri, P Kailash, Helen, Smriti Biswas",Costume Drama,,1955,Music: Sardar Malik Lyrics: Hasrat Jaipuri,,
Adil-E-Jahangir,G. P. Sippy,"Pradeep Kumar, Meena Kumari, Daljeet, Chitra, Sapru, Durga Khote, Kammo, Amir Bano, Darpan, Maruti",Costume Fantasy,,1955,Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi,,
Adivasiyon Ka Jeevan Srot,Ritwik Ghatak,,Documentary,,1955,,,
Albeli,Devendra Goel,"Geeta Bali, Pradeep Kumar, Johnny Walker, Om Prakash, Randhir, Tun Tun,",Social Drama,,1955,Music: Ravi Lyrics: Ravi,,
Alladin Ka Beta,Rafiq Rizvi,"Mahipal, Chitra, Yashodara Katju, Tiwari, Yogesh Bhalla, Naaz, Maruti",Fantasy,,1955,Music: S. Mohinder Lyrics: Tanveer Naqvi,,
Amanat,Aravind Sen,"Bharat Bhushan, Chand Usmani, Pran, Nazir Hussain",Social Drama,,1955,Produced by Bimal Roy. Music: Salil Chowdhary Lyrics: Shailendra,,
Amar Saigal,Nitin Bose,"Pahari Sanyal, Tandon, G Mungeri, Akhtar Jahan, Padma Devi",Saigal Documentary,,1955,"Music: Rai Chand Boral, Pankaj Mullick, Timir Baran, Apresh Lahiri. Singer: Main K. L. Saigal, songs used with scenes from his films.",,
Andher Nagari Chaupat Raja,Shamim Bhagat,"Chitra, Amarnath, B M Vyas, Uma Devi, Gope, David",Costume,,1955,Music: Avinash Vyas Lyrics: Bharat Vyas,,
Azaad,S. M. S. Naidu,"Dilip Kumar, Meena Kumari, Pran, Achala Sachdev, Om Prakash, Badri Prasad, Randhir, Murad, Shammi",Action Drama,,1955,Music: C. Ramachandra Lyrics: Rajendra Krishan,,
Baap Re Baap,A. R. Kardar,"Kishore Kumar, Chand Usmani, Smriti Biswas, Nazneen, Leela Mishra, Jayant, Ulhas",Comedy Drama,,1955,Music: O. P. Nayyar Lyrics: Jan Nisar Akhtar,,
Baghdad Ka Chor,Shriram Bohra,"Daljeet, Chitra, Krishna Kumari, Yashodara Katju, Ram Kumar, Maruti",Fantasy,,1955,"Music: B. N. Bali Lyrics: Omar Khayyam Saharanpuri, Sartaj Rahmani, Khalish Lakhnavi, Harish Rana",,
