Title,Director,Cast,Genre,Sources,Year,Source,Composer,Music director
Waapsi,Surendra Mohan,"Rajesh Khanna, Nalini Jaywant, Heena Kausar",Mystery,,1986,,,
Woman,,"Zeenat Aman, Shakti Kapoor, Shashi Kapoor",,,1986,,,
Yeh Preet Na Hogi Kam,Sheetal,"Preeti Ganguli, Kiran Kumar",,,1986,,,
Zindagani,Prabhat Roy,"Rakhee Gulzar, Mithun Chakraborty, Rati Agnihotri",,,1986,,,
108 Teerthyatra,Rajpati,"Pravin Anand, Nayan Bhatt, Jeetu","Comedy, Drama, Fantasy",,1987,,,
7 Saal Baad,S.U. Syed,"Major Anand, Chandrashekhar, Anil Chaudhary","Romance, Horror, Drama, Fantasy",,1987,,,
Aag Hi Aag,Shibu Mitra,"Dharmendra, Shatrughan Sinha, Moushumi Chatterjee, Neelam Kothari",Action,,1987,,,
Aage Mod Hai,,,,,1987,,,
Aaj,Mahesh Bhatt,"Raj Babbar, Kumar Gaurav, Raj Kiran",,,1987,,,
Ahsaan,Balwant Dullat,"Raj Babbar, Amjad Khan, Raj Kiran, Smita Patel",,,1987,,,
Anjaam,T. Hariharan,"Shafi Inamdar, Shashi Kapoor, Hema Malini",,,1987,,,
Apne Apne,Ramesh Behl,"Beena Banerjee, Atlee Brar, Dan Dhanoa",,,1987,,,
Aulad,Vijay Sadanah,"Jeetendra, Jaya Prada, Sridevi",Drama,,1987,,,
Awam,B.R Chopra,"Rajesh Khanna, Ashok Kumar, Smita Patil","Adventure, Mystery, Thriller",,1987,,,
Bandhani,Ketan Mehta,,,,1987,,,
Banoo,"Madan Jain, Jayshree T.",,,,1987,,,
Besahara,B.R. Ishara,,,,1987,,,
Dacait,Rahul Rawail,"Rakhee Gulzar, Sunny Deol, Meenakshi Sheshadri",Action,,1987,,,
Dadagiri,Deepak S. Shivdasani,"Dharmendra, Govinda, Rati Agnihotri","Action, Crime, Drama, Romance",,1987,,,
Dak Bangla,Keshu Ramsay,"Aaloka, Bhakti Bhansali, Leena Das",Horror,,1987,,,
Daku Hasina,Ashok Roy,"Zeenat Aman, Rajnikanth, Pradeep Kumar",,,1987,,,
Dance Dance,B. Subhash,"Mithun Chakraborty, Smita Patil, Mandakini, Shakti Kapoor",,,1987,,,
Daraar,,"Kiran Kumar, Chunky Pandey",,,1987,,,
Deewana Tere Naam Ka,Deepak Bahry,"Master Bhagwan, Mithun Chakraborty, Leena Das, Vijeta Pandit",,,1987,,,
Dil Tujhko Diya,Rakesh Ranjan Kumar,"Kumar Gaurav, Rati Agnihotri, Mala Sinha",,,1987,,,
Diljalaa,Bapu,"Rita Bhaduri, Kamal Chopra, Danny Denzongpa, Farha Naaz","Action, Crime, Drama, Romance",,1987,,,
Dilruba Tangewali,S. R. Pratap,"Hemant Birje, Sripradha, Pran, Deva, Rajendra Nath, Krishna Devi, Chand Usmani",,,1987,,,
Dozakh,Suhaas Khandke,"Pallavi Bhatt, Trilok Kapoor, Suhaas Khandke",,,1987,,,
Ek Aur Itihas,Prakash Jha,,,,1987,,,
Ek Chor Ek Hasina,K. Ragavendra Rao,"Sridevi, Krishna Ghattamaneni",,,1987,,,
Ek Ladki Badnaam Si,,,,,1987,,,
Faqeer Badshah,Subhash,"Danny Denzongpa, Roma Manik, Bindu",Action,,1987,,,
Ghar Ka Sukh,Kalpataru,Raj Kiran,,,1987,,,
Goraa,Desh Gautam,"Rajesh Khanna, Sulakshana Pandit, Raj Kiran, Pran",,,1987,,,
Gulami Ki Zaanjeerein,,Kader Khan,,,1987,,,
Hamari Jung,Rajesh Bahaduri,"Mohan Choti, Irshad Khan, Rajshri Nair",Action,,1987,,,
Hawalaat,Surendera Mohan,"Mithun Chakraborty, Rishi Kapoor, Padmini Kolhapure, Mandakini","Action, Drama, Adventure, Crime",,1987,,,
Hifazat,Prayag Raj,"Ashok Kumar, Nutan, Anil Kapoor, Madhuri Dixit, Pran","Drama, Family",,1987,,,
Himmat Aur Mehanat,K. Bapaiah,"Shammi Kapoor, Jeetendra, Poonam Dhillon","Action, Drama",,1987,,,
Hiraasat,Surendra Mohan,"Shatrughan Sinha, Mithun Chakraborty, Hema Malini, Anita Raj","Action, Crime, Drama",,1987,,,
Hukumat,Anil Sharma,"Dharmendra, Rati Agnihotri",,,1987,,,
Ijaazat,Gulzar,"Rekha, Naseeruddin Shah, Anuradha Patel","Drama, Musical, Romance",,1987,,,
Imaandaar,Sushil Malik,"Sanjay Dutt, Farah, Pran","Action, Crime, Drama",,1987,,,
Inaam Dus Hazaar,Jyotin Goel,"Sanjay Dutt, Meenakshi Sheshadri, Amrish Puri",Action,,1987,,,
Insaaf,Mukul S. Anand,"Vinod Khanna, Dimple Kapadia, Suresh Oberoi",Action,,1987,,,
Insaf Ki Pukar,T. Rama Rao,"Dharmendra, Jeetendra, Anita Raj, Bhanupriya",,,1987,,,
Insaniyat Ke Dushman,Rajkumar Kohli,"Dharmendra, Shatrughan Sinha, Anita Raj, Dimple Kapadia",Action,,1987,,,
Itihaas,V. Joshi,"Raaj Kumar, Shabana Azmi, Anil Kapoor, Rati Agnihotri","Drama, Family",,1987,,,
Jaago Hua Savera,Shaukat Jamali,"Shoma Anand, A.K. Hangal, Rohini Hattangadi",,,1987,,,
Jaan Hatheli Pe,R. Jhalani,"Dharmendra, Jeetendra, Raj Babbar, Rekha, Hema Malini",Action,,1987,,,
Jalwa,Pankaj Parashar,"Naseeruddin Shah, Archna Pooran Singh, Rohini Hattangady, Amitabh Bachchan",,,1987,,,
Jawab Hum Denge,Vijay Reddi,"Jackie Shroff, Sridevi, Shatrughan Sinha",,,1987,,,
Jhanjhaar,V. Shantaram,"Padmini Kolhapure, Sushant Roy, Ranjana Deshmukh, Sudhir Pandey, Yunus Pervez",Social Drama,,1987,,,
Kamagni,Ashok Kumar,"Sujit Kumar, Shreeram Lagoo, Tina Munim","Drama, Music",,1987,,,
Kaash,Mahesh Bhatt,"Jackie Shroff, Dimple Kapadia, Master Makrand","Drama, Family",,1987,,,
Kachchi Kali,K.R. Rangan,"Sonika Gill, Kapil Karzan, Ajinkya Deo",,,1987,,,
Kalyug Aur Ramayan,Babubhai Mistry,"Manoj Kumar, Rajiv Goswami, Madhavi",Drama,,1987,,,
Kaun Jeeta Kaun Haara,Rakesh Kumar,"Amitabh Bachchan, Kishore Kumar",,,1987,,,
Kaun Kitney Pani Mein,,Mahendra Sandhu,,,1987,,,
Khazana,Harmesh Malhotra,"Randhir Kapoor, Rekha, Bindu","Action, Crime, Drama, Thriller",,1987,,,
Khudgarz,Rakesh Roshan,"Jeetendra, Shatrughan Sinha, Govinda, Amrita Singh, Bhanupriya, Neelam Kothari","Drama, Family, Musical",,1987,,,
Kudrat Ka Kanoon,"K.C. Bokadia, S.A. Chandrashekhar","Jackie Shroff, Hema Malini, Pran",,,1987,,,
Loha,Raj Shippy,"Dharmendra, Shatrughan Sinha, Madhavi, Mandakini","Action, Crime, Drama",,1987,,,
Maa Beti,Kalpataru,"Shashi Kapoor, Sharmila Tagore, Meenakshi Seshadri, Sachin Pilgaonkar, Tanuja, Pran, Kader Khan",,,1987,,,
Maashuka,Arati Bhattacharya,"Kunal Kapoor, Moon Moon Sen, Arun Govil",Romance,,1987,,,
Madadgaar,Ramanesh Puri,"Jeetendra, Sulakshana Pandit, Aruna Irani","Action, Crime, Drama, Romance",,1987,,,
Maha Yatra,Goutam Ghose,"Shatrughan Sinha, Mohan Agashe, Kalyan Chatterjee, Vasant Choudhury","Drama, Thriller",,1987,,,
Majaal,K. Bapaiah,"Sadashiv Amrapurkar, Vikas Anand, Asrani",,,1987,,,
Mard Ki Zabaan,K. Bapaiah,"Dharmendra, Poonam Dhillon, Kimi Katkar, Jackie Shroff, Sushma Seth",,,1987,,,
Marte Dam Tak,Mehul Kumar,"Raaj Kumar, Govinda, Farah",,,1987,,,
Mera Karam Mera Dharam,Dulal Guha,"Dharmendra, Moushumi Chatterjee, Johnny Walker",,,1987,,,
Mera Lahoo,Veerendra,"Govinda, Kimi Katkar","Action, Crime, Drama",,1987,,,
Mera Suhag,Ajay Sharma,"Rati Agnihotri, Pankaj Dheer, Deepti Naval",,,1987,,,
Mera Yaar Mera Dushman,,"Ardhendu Bose, Mithun Chakraborty, Bindiya Goswami",Musical,,1987,,,
Mirch Masala,Ketan Mehta,"Ram Gopal Bajaj, Benjamin Gilani, Mohan Gokhale",Thriller,,1987,,,
Moti Veerana Chowk,Abbas-Mastan,,,,1987,,,
Mr. India,Shekhar Kapur,"Anil Kapoor, Sridevi, Amrish Puri, Ashok Kumar","Action, Adventure, Comedy, Drama, Science Fiction, Musical, Fantasy",,1987,,,
Muqaddar Ka Faisla,Prakash Mehra,"Raaj Kumar, Rakhee Gulzar, Raj Babbar, Tina Munim, Meenakshi Sheshadri, Pran","Drama, Family",,1987,,,
Naam O Nishan,Ajay Kashyap,"Shashi Kapoor, Sanjay Dutt, Amrita Singh, Nirupa Roy","Action, Thriller",,1987,,,
Nafrat,,"Shoma Anand, Mazhar Khan",,,1987,,,
Nazrana,Ravi Tandon,"Rajesh Khanna, Sridevi, Priti Sapru",,,1987,,,
Param Dharam,Swaroop Kumar,"Mithun Chakraborty, Mandakini","Action, Crime, Drama",,1987,,,
Parivaar,Shashilal Nair,"Mithun Chakraborty, Meenakshi Sheshadri, Shakti Kapoor",,,1987,,,
Pratighaat,N. Chandra,"Nana Patekar, Sujata Mehta, Arvind Kumar, Charan Raj",Drama,,1987,,,
Pyaar Karke Dekho,D. Rajendra Babu,"Govinda, Mandakini, Kader Khan",Family,,1987,,,
Pyaar Ke Do Chaar Din,,Madhu Malhotra,,,1987,,,
Pyaar Ki Jeet,Saawan Kumar Tak,"Shashi Kapoor, Vinod Mehra, Rekha","Comedy, Drama, Musical",,1987,,,
Pyar Ke Kabil,Anil Ganguly,"Rishi Kapoor, Padmini Kolhapure, Asha Sachdev","Drama, Family, Romance",,1987,,,
Raahee,Raman Kumar,"Sanjeev Kumar, Shatrughan Sinha, Smita Patil","Action, Crime, Drama, Romance",,1987,,,
Raat Ke Andhere Mein,Vinod Talwar,"Javed Khan, Dipika, Mazhar Khan",,,1987,,,
Rajlakshmi,,"Farooq Shaikh, Sujata Mehta, Ashwini Bhave",,,1987,,,
Sadak Chhap,Anil Ganguly,"Jackie Shroff, Padmini Kolhapure, Richa Sharma","Crime, Drama",,1987,,,
Sansar,T. Rama Rao,"Rekha, Raj Babbar, Anupam Kher, Aruna Irani, Archana Jogelkar",,,1987,,,
Satyamev Jayate,Raj Sippy,"Vinod Khanna, Meenakshi Sheshadri, Madhavi",,,1987,,,
Sher Shivaji,Ram Narayan Gabale,"Parikshat Sahni, Smita Patil, Shreeram Lagoo",,,1987,,,
Sindoor,K. Ravi Shankar,"Shashi Kapoor, Govinda, Neelam Kothari",,,1987,,,
Sitapur Ki Geeta,Shibu Mittra,"Rajesh Khanna, Hema Malini, Pran","Action, Crime",,1987,,,
Superman,B. Gupta,"Dharmendra, Ranjeeta Kaur",Science Fiction,,1987,,,
Susman,Shyam Benegal,"Shabana Azmi, Om Puri, Kulbhushan Kharbanda",Drama,,1987,,,
Sutradhar,Chandrakant Joshi,"Girish Karnad, Smita Patil, Nilu Phule",Drama,,1987,,,
Thikana,Mahesh Bhatt,"Smita Patil, Anil Kapoor, Amrita Singh","Crime, Drama",,1987,,,
Uttar Dakshin,Prabhat Khanna,"Rajnikanth, Jackie Shroff, Bharathi Vishnuvardhan, Madhuri Dixit",,,1987,,,
Vali-E-Azam,,Padma Khanna,,,1987,,,
Vishaal,Dinesh,"Bindiya Goswami, Kulbhushan Kharbanda, Vinod Mehra","Drama, Romance",,1987,,,
Waqt Ka Shahenshah,K. Bapaiah,"Sridevi, Krishna, Raogopalrao",Action,,1987,,,
Watan Ke Rakhwale,,"Sunil Dutt, Dharmendra, Mithun Chakraborty, Sridevi, Moushumi Chatterjee",,,1987,,,
Woh Din Aayega,Satyen Bose,"Ashok Kumar, Rajan Sippy, Raj Kiran",,,1987,,,
Yeh Woh Manzil To Nahin,Sudhir Mishra,"Manohar Singh, Habib Tanvir, B.M. Shah",Drama,,1987,,,
Zameen,Ramesh Sippy,,,,1987,,,
Zevar,Basu Chatterji,"Anupam Kher, Alok Nath, Ravi Baswani","Drama, Comedy, Family, Romance",,1987,,,
Aaj Ke Angaare,Archana Puran Singh,"Hemant Birje, Raja Duggal, Rohini Hattangadi","Drama, Action",,1988,,Bappi Lahiri,
Aaj Ka Robin Hood,Tapan Sinha,"Anil Chatterjee, Utpal Dutt, Robi Ghosh, Nana Patekar, Satish Shah","Drama, Action",,1988,,Tapan Sinha,
Aag Ke Sholay,S. R. Pratap,"Hemant Birje, Gulshan Grover, Vijayata Pandit","Drama, Action",,1988,,Vijay,
Aage Ki Soch,Dada Kondke,"Dada Kondke, Huma Khan, Shakti Kapoor, Satish Shah, Raja Murad",Comedy,,1988,,Raamlaxman,
Aakhri Adaalat,Rajiv Mehra,"Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam",Action,,1988,,Anu Malik,
Aakhri Nishchay,K.C. Agarwal,Surendra Pal,Action,,1988,,,
Abhishapt,Prakash Jha,"Deepti Naval, Pyare Mohan Sahay, Vasant Joglekar",Drama,,1988,,,
Agnee,J. Om Prakash,"Mithun Chakraborty, Chunky Pandey, Amrita Singh, Mandakini","Drama, Action",,1988,,Laxmikant–Pyarelal,
Akarshan,Tanvir Ahmed,"Akbar Khan, Sonu Walia, Girish Karnad",Romance,,1988,,Ajit Singh,
Akhri Muqabla,Sudesh C. Issar,"Shashi Kapoor, Rajan Sippy, Suresh Oberoi",Action,,1988,,,
Andha Yudh,Dayal Nihalani,"Raj Babbar, Nana Patekar, Pallavi Joshi, Divya Rana, Rohini Hattangadi","Drama, Thriller",,1988,,Ajit Varman,
Anjaam Khuda Jaane,,"Danny Denzongpa, Gulshan Grover, Imtiaz Khan",,,1988,,,
Aurat Teri Yehi Kahani,Mohanjee Prasad,"Raj Babbar, Meenakshi Seshadri, Raj Kiran, Aruna Irani",Drama,,1988,,Anand-Milind,
Bandhar Bahon Kaa,,Raj Kiran,,,1988,,,
Be Lagaam,Naval Kishore,"Biswajeet, Rakesh Roshan, Jayshree T.",,,1988,,,
Bedroom Story,,Jayshree T.,,,1988,,,
Bees Saal Baad,Rajkumar Kohli,"Mithun Chakraborty, Dimple Kapadia, Meenakshi Sheshadri","Action, Horror",,1988,,Laxmikant–Pyarelal,
Bhatakti Jawani,Inderjit Doshi,"Mukri, Lalita Pawar",,,1988,,,
Bhayaanak Mahal,Baby,"Babu Antony, Ravi, Jaya Rekha",Horror,,1988,,,
Bhed Bhav,Navin Kumar,Pradeep Kumar,,,1988,,,
Biwi Ho To Aisi,JK Bihari,"Rekha, Salman Khan, Farooq Shaikh, Bindu, Kader Khan","Drama, Family",,1988,,Laxmikant–Pyarelal,
Charnon Ki Saugandh,K. Bapaiah,"Asrani, Mithun Chakraborty, Prem Chopra, Amrita Singh","Action, Drama, Family",,1988,,Laxmikant–Pyarelal,
Chintamani Surdas,Ram Pahwa,Rakesh Pandey,,,1988,,,
Commando,B. Subhash,"Mithun Chakraborty, Mandakini, Hemant Birje","Action, Drama, Romance",,1988,,Bappi Lahiri,
Daisy,Pratap Pothan,"Harish Kumar, Sonia, Lakshmi, Kamal Hassan",Drama,,1988,,Shyam,
Dariya Dil,K. Ravishankar,"Govinda, Kimi Katkar, Raj Kiran, Kader Khan, Shakti Kapoor","Drama, Family",,1988,,Rajesh Roshan,
Dayavan,Feroz Khan,"Vinod Khanna, Feroz Khan, Amala, Madhuri Dixit, Aditya Pancholi","Action, Drama, Family",,1988,,Laxmikant Pyarelal,
Dharam Shatru,Harmesh Malhotra,"Shatrughan Sinha, Reena Roy, Nirupa Roy",,,1988,,,
Dharamyudh,Sudarshan Nag,"Shatrughan Sinha, Sunil Dutt, Kimi Katkar",Drama,,1988,,Rajesh Roshan,
Do Waqt Ki Roti,Satpal,"Feroz Khan, Sanjeev Kumar, Reena Roy, Sulakshana Pandit",Action,,1988,,Laxmikant Pyarelal,
Ek Aadmi,Khwaja Ahmad Abbas,"Shabana Azmi, Parikshat Sahni, Tun Tun",Drama,,1988,,,
Ek Hi Maqsad,Pravin Bhatt,"Om Puri, Divya Rana, Danny Denzongpa, Rakesh Bedi, Satish Shah","Action, Drama, Thriller",,1988,,Pankaj Udhas,
Ek Naya Rishta,Vinod Pande,"Rekha, Raj Kiran, Mazhar Khan",Family,,1988,,Mohammed Zahur Khayyam,
Faisla,S. Ramanathan,"Saira Banu, Bindu, Vinod Khanna",Drama,,1988,,R. D. Burman,
Falak,Shashilal K. Nair,"Rakhee Gulzar, Jackie Shroff, Shekhar Kapur","Action, Crime, Drama, Family",,1988,,,
Ganga Tere Desh Mein,Vijay Reddi,"Raj Babbar, Dharmendra, Dimple Kapadia, Jayapradha, Kader Khan, Shaturghan Sinha","Action, Drama",,1988,,,
Gangaa Jamunaa Saraswathi,Manmohan Desai,"Amitabh Bachchan, Mithun Chakraborty, Jayapradha, Meenakshi Sheshadri, Amrish Puri","Action, Drama, Family, Crime, Adventure",,1988,,Anu Malik,
Ghar Aakir Ghar Hai,,"Javed Khan, Rajesh Puri",,,1988,,,
Ghar Ghar Ki Kahani,Kalpataru,"Govinda, Farha Naaz, Rishi Kapoor, Jaya Prada","Drama, Comedy, Family",,1988,,Bappi Lahiri,
Ghar Mein Ram Gali Mein Shyam,Subhash Soni,"Govinda, Neelam Kothari, Anupam Kher, Johnny Lever","Drama, Family, Action, Comedy",,1988,,,
Gharwali Baharwali,Sripathi Panditharadhyula Rajaram,"Chandrashekhar, Ramesh Deo, Satyendra Kapoor",Family,,1988,,,
Ghayal Sherni,,"Aruna, Jayanthi, Satyanarayana Kaikala",,,1988,,,
Gunahon Ka Faisla,Shibu Mitra,"Shatrughan Sinha, Dimple Kapadia, Chunky Pandey, Danny Denzongpa, Gulshan Grover, Pran",Action,,1988,,Bappi Lahiri,
Gunahon Ke Shatranj,Chandrakant Sangani,,,,1988,,,
Halaal Ki Kamai,Swaroop Kumar,"Govinda, Farha Naaz, Sonika Gill, Shakti Kapoor, Gulshan Grover","Family, Action",,1988,,Bappi Lahiri,
Halla Gulla,,,,,1988,,,
Hamara Khandaan,Anwar Pasha,"Rishi Kapoor, Farha Naaz, Kiran Juneja","Drama, Romance",,1988,,,
Hatya,Kirti Kumar,"Govinda, Neelam Kothari, Anupam Kher","Action, Crime, Thriller",,1988,,Bappi Lahiri,
Hum Farishte Nahin,Jatin Kumar,"Raj Babbar, Smita Patil, Om Puri, Poonam Dhillon","Action, Thriller",,1988,,Manoj - Gyan,
Hum To Chale Pardes,Ravindra Peepat,"Rajiv Kapoor, Shashi Kapoor, Kulbhushan Kharbanda",,,1988,,,
Insaaf Ki Jung,,"Shafi Inamdar, Priya Tendulkar",,,1988,,,
Insaaf Ki Manzil,,"Bhushan Jeevan, Shekhar Suman",,,1988,,,
nsaniyat,,Kimi Katkar,,,1988,,,
Inteqam,Rajkumar Kohli,"Sunny Deol, Anil Kapoor, Meenakshi Sheshadri, Kimi Katkar, Kader Khan",Drama,,1988,,Laxmikant–Pyarelal,
Janam Janam,Vijay Sadanah,"Rishi Kapoor, Danny Denzongpa, Amrish Puri",Drama,,1988,,,
Jawani Ki Lahren,,"Manmauji, Rakesh Pandey",,,1988,,,
Jeete Hain Shaan Se,Kawal Sharma,"Mithun Chakraborty, Sanjay Dutt, Govinda (actor)Govinda, Mandakini, Vijeta Pandit, Danny Denzongpa",Action,,1988,,Anu Malik,
Jungle Ki Beti,,"Rakesh Bedi, Joginder Shelly",,,1988,,,
Kaal Chakra,,"Sadashiv Amrapurkar, Madan Jain, Suresh Oberoi",,,1988,,,
Kab Tak Chup Rahungi,T. Prakash Rao,"Amala Akkineni, Aditya Pancholi, Kiran Kumar, Kader Khan",Drama,,1988,,Bappi Lahiri,
Kabrastan,Mohan Bhakri,"Hemant Birje, Kunika, Amjad Khan, Jagdeep, Raza Murad",Horror,,1988,,Jagdish Khanna,
Kabzaa,Mahesh Bhatt,"Sanjay Dutt, Amrita Singh, Paresh Rawal, Raj Babbar",Action,,1988,,Rajesh Roshan,
Kanoon Ki Hathkadee,K. Bapaiah,"Sridevi, Krishna, Gummadi",Action,,1988,,,
Kanwarlal,S.S. Ravichandra,"Jeetendra, Raj Babbar, Sujata Mehta, Amjad Khan",Action,,1988,,Bappi Lahiri,
Kasam,Umesh Mehra,"Anil Kapoor, Poonam Dhillon","Action, Drama",,1988,,,
Kharidar,,"Daljit Kaur, Paresh Rawal, Sarika",,,1988,,,
Khatron Ke Khiladi,T. Rama Rao,"Dharmendra, Sanjay Dutt, Chunky Pandey, Madhuri Dixit, Neelam Kothari, Shakti Kapoor, Sadashiv Amrapurkar","Action, Comedy, Crime, Drama",,1988,,Laxmikant–Pyarelal,
Khoon Bahaa Ganga Mein,Pravin Bhatt,"Avtar Gill, Annu Kapoor, Bharat Kapoor",Action,,1988,,,
Khoon Bhari Maang,Rakesh Roshan,"Rekha, Kabir Bedi, Sonu Walia","Action, Drama, Thriller",,1988,,,
Lathi,,,,,1988,,,
Libaas,Gulzar,"Shabana Azmi, Naseeruddin Shah, Raj Babbar, Annu Kapoor",Drama,,1988,,Rahul Dev Burman,
Maalamaal,Kewal Sharma,"Naseeruddin Shah, Poonam Dhillon, Mandakini, Satish Shah",Comedy,,1988,,Anu Malik,
Mahakali,,"Farha Naaz, Master Rinku",,,1988,,,
Mahaveera,Naresh Saigal,"Dharmendra, Raaj Kumar, Dimple Kapadia, Raj Babbar, Shatrughan Sinha, Vinod Mehra",Action,,1988,,Kalyanji-Anandji,
Main Zinda Hoon,Sudhir Mishra,"Rajendra Gupta, Pankaj Kapur, Deepti Naval, Alok Nath",Drama,,1988,,Sharang Dev,
Mar Mitenge,,"Jeetendra, Mithun Chakraborty, Bhanupriya, Madhavi, Amrish Puri, Kader Khan, Shakti Kapoor","Drama, Action",,1988,,Laxmikant–Pyarelal,
Mardangi,S.R. Pratap,"Aman Virk, Hemant Birje, Dara Singh",Drama,,1988,,,
Mardon Wali Baat,Brij,"Dharmendra, Sanjay Dutt, Jaya Prada, Shabana Azmi, Danny Denzongpa","Action, Drama",,1988,,R. D. Burman,
Mera Muqaddar,,"Prem Chopra, Kulbhushan Kharbanda, Tanuja",Drama,,1988,,,
Mera Shikar,Keshu Ramsay,"Kabir Bedi, Dimple Kapadia, Navin Nischol",Action,,1988,,,
Mere Baad,Vishwamitra,"Rakhee Gulzar, Anupam Kher",Drama,,1988,,,
Mohabbat Ke Dushman,Prakash Mehra,"Raaj Kumar, Hema Malini, Sanjay Dutt, Farha Naaz, Poonam Dhillon","Action, Thriller",,1988,,Kalyanji Anandji,
Mohre,Raghuvir Kul,"Nana Patekar, Madhuri Dixit, Sadashiv Amrapurkar",Drama,,1988,,Vanraj Bhatia,
Mulzim,K.S.R. Doss,"Jeetendra, Shatrughan Sinha, Hema Malini, Kimi Katkar, Amrita Singh, Suresh Oberoi, Kader Khan","Drama, Action",,1988,,Bappi Lahiri,
Namumkin,Hrishikesh Mukherjee,"Raj Babbar, Vinod Mehra, Zeenat Aman, Sanjeev Kumar","Drama, Mystery",,1988,,R. D. Burman,
Om-Dar-B-Dar,Kamal Swaroop,"Gopi Desai, Manish Gupta, Anita Kanwar",,,1988,,,
Paanch Fauladi,,"Raj Babbar, Javed Khan, Dara Singh, Salma Agha, Anita Raj",Action,,1988,,Uttam-Jagdish,
Paap Ki Duniya,Shibu Mitra,"Sunny Deol, Neelam Kothari, Chunky Pandey, Danny Denzongpa, Pran, Shakti Kapoor",Action,,1988,,Bappi Lahiri,
Paap Ko Jalaa Kar Raakh Kar Doonga,K.R. Reddy,"Dharmendra, Govinda, Anita Raj, Farha Naaz, Sadashiv Amrapurkar, Shakti Kapoor",Action,,1988,,Ravindra Jain,
